Timespan (Mins),"Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)","Cloud Info - (Timestamp,(lat,lon, angle, area (sq.km), axis (km),eccentricity,distance,Duration,Velocity,MaxOverlap1)",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"('13-07-2016 00:15', [7.0, 73.8], 137.4, 16475.2, [105.6, 251.9], 0.87, 0.0, 0, 0.0, 0.0)","('13-07-2016 00:45', [6.9, 73.7], 84.0, 10423.5, [104.9, 142.4], 0.52, 11.31, 30.0, 0.38, 0.53)","('13-07-2016 01:15', [6.8, 74.0], 126.9, 17486.9, [134.4, 260.9], 0.89, 22.63, 30.0, 0.75, 0.53)","('13-07-2016 01:45', [7.1, 73.6], 121.9, 12055.8, [93.9, 179.9], 0.84, 40.0, 30.0, 1.33, 0.5)","('13-07-2016 02:45', [6.9, 73.7], 113.4, 9935.7, [76.6, 161.0], 0.86, 0.0, 60.0, 0.0, 0.72)","('13-07-2016 03:15', [6.9, 73.7], 114.2, 8265.8, [76.8, 138.2], 0.8, 8.0, 30.0, 0.27, 0.75)","('13-07-2016 03:45', [6.9, 73.5], 107.0, 6077.2, [60.6, 106.1], 0.81, 16.0, 30.0, 0.53, 0.61)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"('13-07-2016 00:15', [9.5, 97.4], 64.2, 15473.8, [108.0, 177.5], 0.77, 0.0, 0, 0.0, 0.0)","('13-07-2016 00:45', [9.5, 97.3], 61.2, 15296.4, [116.4, 186.3], 0.81, 11.31, 30.0, 0.38, 0.74)","('13-07-2016 01:15', [9.6, 97.4], 67.7, 18807.3, [114.7, 198.7], 0.8, 8.0, 30.0, 0.27, 0.8)","('13-07-2016 01:45', [9.6, 97.2], 80.4, 22140.0, [127.8, 195.4], 0.74, 17.89, 30.0, 0.6, 0.74)","('13-07-2016 02:45', [9.5, 96.9], 99.8, 19646.3, [105.2, 217.8], 0.88, 43.08, 60.0, 0.72, 0.58)","('13-07-2016 03:15', [9.6, 96.9], 102.0, 17689.5, [90.3, 240.8], 0.94, 0.0, 30.0, 0.0, 0.76)","('13-07-2016 03:45', [9.4, 96.8], 97.8, 13601.3, [90.0, 225.0], 0.95, 17.89, 30.0, 0.6, 0.65)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890,"('13-07-2016 00:15', [18.3, 92.7], 85.3, 6040.9, [45.0, 134.9], 0.93, 0.0, 0, 0.0, 0.0)","('13-07-2016 00:45', [18.2, 92.7], 95.5, 8810.0, [82.4, 149.8], 0.9, 16.0, 30.0, 0.53, 0.57)","('13-07-2016 01:15', [18.2, 92.8], 80.5, 12591.9, [97.5, 187.5], 0.88, 8.0, 30.0, 0.27, 0.59)","('13-07-2016 01:45', [18.1, 92.7], 94.6, 14124.3, [82.4, 187.2], 0.89, 8.0, 30.0, 0.27, 0.7)","('13-07-2016 02:45', [17.9, 92.8], 83.2, 20257.3, [104.9, 217.3], 0.86, 0.0, 60.0, 0.0, 0.66)","('13-07-2016 03:15', [17.9, 92.9], 93.0, 23671.7, [112.1, 231.8], 0.89, 11.31, 30.0, 0.38, 0.77)","('13-07-2016 03:45', [17.7, 92.9], 86.2, 18456.6, [119.7, 187.1], 0.74, 17.89, 30.0, 0.6, 0.65)","('13-07-2016 04:15', [17.6, 92.8], 83.7, 16817.5, [105.0, 187.6], 0.82, 16.0, 30.0, 0.53, 0.72)","('13-07-2016 04:45', [17.5, 93.0], 89.8, 21609.0, [97.2, 276.7], 0.93, 17.89, 30.0, 0.6, 0.63)","('13-07-2016 05:15', [17.4, 92.9], 90.2, 21261.1, [97.3, 291.9], 0.94, 8.0, 30.0, 0.27, 0.69)","('13-07-2016 05:45', [17.1, 93.1], 108.8, 19240.8, [106.5, 296.5], 0.95, 28.84, 30.0, 0.96, 0.55)","('13-07-2016 06:15', [16.7, 93.4], 108.3, 19647.9, [91.3, 273.8], 0.96, 56.57, 30.0, 1.89, 0.41)","('13-07-2016 06:45', [16.6, 93.5], 100.2, 27702.8, [105.3, 361.1], 0.96, 22.63, 30.0, 0.75, 0.5)","('13-07-2016 07:15', [15.8, 93.8], 94.5, 34188.3, [119.9, 374.7], 0.96, 45.25, 30.0, 1.51, 0.52)","('13-07-2016 07:45', [15.5, 93.8], 92.5, 38063.4, [97.3, 449.3], 0.97, 8.0, 30.0, 0.27, 0.67)","('13-07-2016 08:15', [14.8, 93.7], 89.3, 43090.9, [119.8, 464.1], 0.97, 28.84, 30.0, 0.96, 0.58)","('13-07-2016 08:45', [14.4, 93.7], 85.1, 58571.6, [172.4, 487.3], 0.96, 8.0, 30.0, 0.27, 0.71)","('13-07-2016 09:15', [14.4, 93.8], 81.6, 63826.6, [165.5, 534.0], 0.95, 11.31, 30.0, 0.38, 0.79)","('13-07-2016 09:45', [14.4, 93.6], 81.6, 56366.7, [180.4, 450.9], 0.94, 33.94, 30.0, 1.13, 0.66)","('13-07-2016 10:15', [14.7, 93.5], 81.6, 48094.8, [127.8, 451.1], 0.96, 17.89, 30.0, 0.6, 0.76)","('13-07-2016 10:45', [14.8, 94.6], 91.4, 69241.9, [142.2, 688.3], 0.98, 129.0, 30.0, 4.3, 0.51)","('13-07-2016 11:15', [14.9, 95.2], 89.0, 59849.7, [149.6, 763.1], 0.97, 72.44, 30.0, 2.41, 0.59)","('13-07-2016 11:45', [14.9, 96.3], 81.7, 49955.7, [165.1, 570.3], 0.95, 131.94, 30.0, 4.4, 0.43)","('13-07-2016 12:15', [14.8, 96.6], 86.2, 76157.6, [246.9, 598.6], 0.88, 56.57, 30.0, 1.89, 0.51)","('13-07-2016 12:45', [14.3, 95.9], 102.7, 60898.2, [173.3, 452.2], 0.94, 100.24, 30.0, 3.34, 0.47)","('13-07-2016 13:15', [14.2, 95.6], 104.3, 72263.1, [196.4, 468.4], 0.93, 25.3, 30.0, 0.84, 0.79)","('13-07-2016 13:45', [13.9, 95.6], 98.3, 87762.6, [255.2, 450.4], 0.84, 25.3, 30.0, 0.84, 0.73)","('13-07-2016 14:15', [13.9, 95.4], 95.0, 98350.0, [269.7, 464.4], 0.8, 22.63, 30.0, 0.75, 0.76)","('13-07-2016 14:45', [13.7, 95.5], 86.7, 105116.6, [261.8, 478.8], 0.82, 16.0, 30.0, 0.53, 0.83)","('13-07-2016 15:15', [13.7, 95.4], 91.3, 115283.9, [284.2, 493.5], 0.81, 11.31, 30.0, 0.38, 0.83)","('13-07-2016 15:45', [13.4, 95.3], 90.7, 107590.2, [269.5, 464.1], 0.82, 11.31, 30.0, 0.38, 0.87)","('13-07-2016 16:15', [13.1, 95.3], 85.5, 97857.2, [232.0, 464.0], 0.87, 40.0, 30.0, 1.33, 0.71)","('13-07-2016 16:45', [13.1, 95.2], 86.3, 103767.3, [232.1, 531.5], 0.87, 11.31, 30.0, 0.38, 0.87)","('13-07-2016 17:15', [13.1, 95.3], 86.4, 106946.1, [246.7, 538.2], 0.86, 8.0, 30.0, 0.27, 0.89)","('13-07-2016 17:45', [13.1, 95.1], 87.7, 116422.9, [262.0, 524.1], 0.83, 11.31, 30.0, 0.38, 0.88)","('13-07-2016 18:15', [12.9, 95.1], 92.0, 122820.8, [277.0, 509.1], 0.8, 8.0, 30.0, 0.27, 0.86)","('13-07-2016 18:45', [13.0, 95.1], 101.5, 131210.3, [308.6, 534.4], 0.81, 16.0, 30.0, 0.53, 0.77)","('13-07-2016 19:15', [13.0, 94.9], 104.7, 137290.3, [317.6, 559.6], 0.84, 17.89, 30.0, 0.6, 0.82)","('13-07-2016 19:45', [13.4, 94.7], 129.3, 132540.9, [390.2, 605.2], 0.87, 53.67, 30.0, 1.79, 0.59)","('13-07-2016 20:15', [13.6, 94.5], 126.9, 140181.1, [356.1, 648.9], 0.88, 28.84, 30.0, 0.96, 0.79)","('13-07-2016 20:45', [14.9, 93.5], 46.8, 73069.2, [265.2, 401.8], 0.74, 181.02, 30.0, 6.03, 0.38)","('13-07-2016 21:15', [15.0, 93.5], 54.7, 84559.2, [291.6, 425.5], 0.71, 0.0, 30.0, 0.0, 0.83)","('13-07-2016 21:45', [14.2, 93.8], 134.5, 133003.5, [410.9, 539.8], 0.77, 78.79, 30.0, 2.63, 0.59)","('13-07-2016 22:15', [14.1, 93.9], 110.2, 149388.3, [381.4, 709.4], 0.82, 11.31, 30.0, 0.38, 0.79)","('13-07-2016 22:45', [14.2, 93.7], 130.6, 144851.7, [391.9, 591.8], 0.79, 17.89, 30.0, 0.6, 0.78)","('13-07-2016 23:15', [14.1, 93.6], 131.0, 147780.7, [407.8, 575.7], 0.78, 8.0, 30.0, 0.27, 0.83)","('13-07-2016 23:45', [14.0, 93.5], 132.6, 155739.9, [409.1, 577.6], 0.75, 17.89, 30.0, 0.6, 0.79)","('14-07-2016 00:15', [14.5, 93.3], 178.7, 155167.3, [508.6, 577.5], 0.31, 53.67, 30.0, 1.79, 0.67)","('14-07-2016 00:45', [14.1, 93.2], 90.3, 117164.7, [276.2, 477.8], 0.81, 50.6, 30.0, 1.69, 0.67)","('14-07-2016 01:15', [13.9, 93.0], 89.0, 117206.2, [276.7, 493.5], 0.82, 17.89, 30.0, 0.6, 0.88)","('14-07-2016 01:45', [13.9, 93.0], 86.4, 112428.8, [291.8, 478.9], 0.79, 8.0, 30.0, 0.27, 0.86)","('14-07-2016 02:15', [14.6, 92.9], 27.1, 141789.7, [495.7, 546.1], 0.65, 73.76, 30.0, 2.46, 0.62)","('14-07-2016 02:45', [14.5, 92.7], 8.5, 148748.1, [482.2, 602.8], 0.73, 17.89, 30.0, 0.6, 0.81)","('14-07-2016 03:15', [14.2, 92.6], 20.1, 151026.1, [492.6, 611.5], 0.76, 22.63, 30.0, 0.75, 0.81)","('14-07-2016 03:45', [14.3, 92.5], 27.6, 134414.8, [476.3, 551.5], 0.71, 17.89, 30.0, 0.6, 0.75)","('14-07-2016 04:15', [15.8, 92.6], 84.2, 56544.8, [209.9, 322.4], 0.75, 144.22, 30.0, 4.81, 0.38)","('14-07-2016 04:45', [14.5, 92.5], 65.2, 116214.3, [407.7, 515.4], 0.69, 128.25, 30.0, 4.27, 0.44)","('14-07-2016 05:15', [14.5, 92.5], 65.5, 124501.6, [407.5, 553.6], 0.61, 0.0, 30.0, 0.0, 0.82)","('14-07-2016 05:44', [14.5, 92.5], 94.4, 127661.6, [419.3, 539.1], 0.42, 8.0, 29.0, 0.28, 0.77)","('14-07-2016 06:15', [14.2, 92.3], 102.7, 138152.8, [422.2, 527.8], 0.59, 28.84, 31.0, 0.93, 0.76)","('14-07-2016 06:45', [14.0, 92.2], 139.1, 127510.0, [416.7, 506.6], 0.67, 16.0, 30.0, 0.53, 0.75)","('14-07-2016 07:15', [14.5, 91.7], 68.4, 66155.8, [252.8, 352.4], 0.66, 96.33, 30.0, 3.21, 0.47)","('14-07-2016 07:45', [14.2, 91.4], 61.6, 47840.8, [210.4, 350.7], 0.75, 32.98, 30.0, 1.1, 0.65)",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
480,"('13-07-2016 00:15', [21.2, 106.8], 78.1, 22096.2, [105.6, 233.8], 0.9, 0.0, 0, 0.0, 0.0)","('13-07-2016 00:45', [21.0, 106.7], 77.4, 18394.4, [90.5, 233.7], 0.94, 22.63, 30.0, 0.75, 0.7)","('13-07-2016 01:15', [21.0, 106.7], 76.8, 17615.7, [82.8, 233.4], 0.93, 11.31, 30.0, 0.38, 0.77)","('13-07-2016 01:45', [20.9, 106.5], 74.5, 17000.9, [83.3, 242.2], 0.94, 17.89, 30.0, 0.6, 0.78)","('13-07-2016 02:45', [20.7, 106.4], 72.1, 19485.6, [106.3, 212.5], 0.88, 8.0, 60.0, 0.13, 0.73)","('13-07-2016 03:15', [20.7, 106.3], 77.5, 21195.2, [105.4, 218.4], 0.86, 17.89, 30.0, 0.6, 0.77)","('13-07-2016 03:45', [20.6, 106.0], 77.5, 21125.4, [105.5, 226.0], 0.88, 32.98, 30.0, 1.1, 0.7)","('13-07-2016 04:15', [20.6, 105.9], 79.0, 25339.3, [113.0, 256.1], 0.9, 11.31, 30.0, 0.38, 0.78)","('13-07-2016 04:45', [20.5, 105.8], 81.2, 31141.5, [112.6, 300.2], 0.92, 28.84, 30.0, 0.96, 0.74)","('13-07-2016 05:15', [20.4, 105.5], 81.0, 35650.2, [120.2, 323.1], 0.93, 25.3, 30.0, 0.84, 0.78)","('13-07-2016 05:45', [20.1, 105.3], 82.8, 36966.9, [119.9, 344.8], 0.94, 28.84, 30.0, 0.96, 0.77)","('13-07-2016 06:15', [20.1, 105.2], 84.7, 41876.9, [134.9, 344.8], 0.92, 11.31, 30.0, 0.38, 0.79)","('13-07-2016 06:45', [20.0, 105.0], 82.0, 42426.0, [142.7, 390.4], 0.92, 28.84, 30.0, 0.96, 0.63)","('13-07-2016 07:15', [19.3, 104.8], 77.5, 46866.3, [196.2, 437.7], 0.9, 35.78, 30.0, 1.19, 0.59)","('13-07-2016 07:45', [19.0, 104.0], 90.6, 62527.9, [194.6, 501.5], 0.9, 88.36, 30.0, 2.95, 0.59)","('13-07-2016 08:15', [19.1, 103.0], 77.4, 23066.5, [105.8, 272.2], 0.89, 129.24, 30.0, 4.31, 0.27)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,"('13-07-2016 00:15', [24.8, 73.1], 89.4, 14698.5, [97.4, 172.2], 0.82, 0.0, 0, 0.0, 0.0)","('13-07-2016 00:45', [24.8, 72.8], 96.1, 16910.0, [104.9, 179.9], 0.81, 32.98, 30.0, 1.1, 0.58)","('13-07-2016 01:15', [24.8, 72.9], 94.8, 22510.8, [119.6, 216.8], 0.83, 8.0, 30.0, 0.27, 0.75)","('13-07-2016 01:45', [24.7, 72.6], 96.7, 22883.4, [127.5, 217.4], 0.83, 17.89, 30.0, 0.6, 0.8)","('13-07-2016 02:45', [24.6, 73.0], 87.6, 36816.8, [119.7, 351.5], 0.94, 50.6, 60.0, 0.84, 0.55)","('13-07-2016 03:15', [24.7, 73.2], 85.6, 39238.4, [127.2, 359.1], 0.93, 8.0, 30.0, 0.27, 0.83)","('13-07-2016 03:45', [24.7, 73.2], 77.7, 35723.5, [143.1, 316.3], 0.91, 8.0, 30.0, 0.27, 0.74)","('13-07-2016 04:15', [24.8, 72.9], 75.7, 37089.0, [158.8, 279.8], 0.85, 16.0, 30.0, 0.53, 0.77)","('13-07-2016 04:45', [24.7, 72.9], 68.5, 40867.2, [183.4, 290.3], 0.76, 17.89, 30.0, 0.6, 0.76)","('13-07-2016 05:15', [24.8, 72.7], 62.9, 38844.2, [185.6, 247.5], 0.64, 17.89, 30.0, 0.6, 0.73)","('13-07-2016 05:45', [24.7, 72.6], 37.4, 34227.4, [189.0, 246.5], 0.56, 16.0, 30.0, 0.53, 0.82)","('13-07-2016 06:15', [24.7, 72.4], 71.2, 29133.1, [175.0, 205.5], 0.42, 24.0, 30.0, 0.8, 0.71)","('13-07-2016 06:45', [24.8, 72.3], 100.4, 18242.5, [120.4, 173.1], 0.66, 8.0, 30.0, 0.27, 0.61)","('13-07-2016 07:15', [24.2, 72.3], 40.6, 7756.7, [82.1, 156.0], 0.9, 8.0, 30.0, 0.27, 0.39)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
